Package,Built
abind,3.5.0
acepack,3.5.1
arm,3.5.1
assertive,3.5.1
assertive.base,3.5.1
assertive.code,3.5.1
assertive.data,3.5.2
assertive.data.uk,3.5.1
assertive.data.us,3.5.1
assertive.datetimes,3.5.1
assertive.files,3.5.1
assertive.matrices,3.5.2
assertive.models,3.5.1
assertive.numbers,3.5.1
assertive.properties,3.5.1
assertive.reflection,3.5.1
assertive.sets,3.5.1
assertive.strings,3.5.1
assertive.types,3.5.1
assertthat,3.5.0
backports,3.5.2
base64enc,3.5.0
bayesplot,3.5.1
BDgraph,3.5.2
beeswarm,3.5.0
BH,3.5.2
bindr,3.5.0
bindrcpp,3.5.0
bitops,3.5.0
bookdown,3.5.2
brew,3.5.0
broom,3.5.2
callr,3.5.2
carData,3.5.1
caTools,3.5.1
cellranger,3.5.0
checkmate,3.5.2
cli,3.5.1
clipr,3.5.2
clisymbols,3.5.1
coda,3.5.1
codebook,3.5.2
coin,3.5.1
colorspace,3.5.2
colourpicker,3.5.1
commonmark,3.5.2
corpcor,3.5.0
corrplot,3.5.1
crayon,3.5.0
crosstalk,3.5.1
curl,3.5.2
CVST,3.5.1
d3Network,3.5.1
data.table,3.5.2
DataExplorer,3.5.1
dataMeta,3.5.1
DBI,3.5.0
dbplyr,3.5.2
ddalpha,3.5.2
DemoPackage,3.5.1
DEoptimR,3.5.0
desc,3.5.1
DescTools,3.5.1
devEMF,3.5.1
devtools,3.5.1
dials,3.5.2
dichromat,3.5.0
digest,3.5.1
dimRed,3.5.1
dplyr,3.5.1
DRR,3.5.1
DT,3.5.1
dygraphs,3.5.1
educationdata,3.5.1
effects,3.5.2
ellipse,3.5.1
emmeans,3.5.2
estimability,3.5.0
evaluate,3.5.1
expm,3.5.1
falsy,3.5.1
fansi,3.5.1
fdrtool,3.5.0
flexdashboard,3.5.2
flextable,3.5.1
forcats,3.5.0
formattable,3.5.1
Formula,3.5.0
fs,3.5.1
future,3.5.1
gdata,3.5.0
gdtools,3.5.1
generics,3.5.2
geometry,3.5.1
ggalluvial,3.5.1
ggdendro,3.5.0
ggeffects,3.5.2
ggformula,3.5.2
ggm,3.5.1
ggplot2,3.5.1
ggrepel,3.5.1
ggridges,3.5.1
ggstance,3.5.1
gh,3.5.1
git2r,3.5.2
glasso,3.5.1
glmmTMB,3.5.2
globals,3.5.1
glue,3.5.1
gmodels,3.5.1
googleVis,3.5.1
gower,3.5.1
gplots,3.5.1
gridExtra,3.5.0
gtable,3.5.0
gtools,3.5.0
hashmap,3.5.0
haven,3.5.1
here,3.5.0
highr,3.5.0
Hmisc,3.5.1
hms,3.5.0
htmldeps,3.5.1
htmlTable,3.5.2
htmltools,3.5.0
htmlwidgets,3.5.1
httpuv,3.5.2
httr,3.5.2
huge,3.5.1
hunspell,3.5.2
igraph,3.5.1
infer,3.5.2
ini,3.5.1
inline,3.5.1
installr,3.5.1
ipred,3.5.1
irreSO,3.5.2
ISOcodes,3.5.1
janeaustenr,3.5.1
janitor,3.5.1
jpeg,3.5.0
jsonlite,3.5.2
kableExtra,3.5.1
kernlab,3.5.1
keypress,3.5.0
knitr,3.5.2
labeling,3.5.0
labelled,3.5.1
later,3.5.1
latticeExtra,3.5.0
lava,3.5.2
lavaan,3.5.1
lazyeval,3.5.0
leaflet,3.5.2
likert,3.5.1
lintr,3.5.2
listenv,3.5.1
lme4,3.5.1
lmtest,3.5.1
loo,3.5.1
lubridate,3.5.0
magic,3.5.1
magick,3.5.1
magrittr,3.5.0
